Name,url svg,url gif,url webp,url littie.json
Smile,https://fonts.gstatic.com/s/e/notoemoji/latest/1f600/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f600/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/1f600/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/1f600/lottie.json
Smile,https://fonts.gstatic.com/s/e/notoemoji/latest/1f600/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f600/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/1f600/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/1f600/lottie.json
Smile-with-big-eyes,https://fonts.gstatic.com/s/e/notoemoji/latest/1f603/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f603/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/1f603/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/1f603/lottie.json
Grin,https://fonts.gstatic.com/s/e/notoemoji/latest/1f604/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f604/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/1f604/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/1f604/lottie.json
Grinning,https://fonts.gstatic.com/s/e/notoemoji/latest/1f601/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f601/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/1f601/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/1f601/lottie.json
Laughing,https://fonts.gstatic.com/s/e/notoemoji/latest/1f606/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f606/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/1f606/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/1f606/lottie.json
Grin-sweat,https://fonts.gstatic.com/s/e/notoemoji/latest/1f605/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f605/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/1f605/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/1f605/lottie.json
Joy,https://fonts.gstatic.com/s/e/notoemoji/latest/1f602/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f602/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/1f602/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/1f602/lottie.json
Rofl,https://fonts.gstatic.com/s/e/notoemoji/latest/1f923/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f923/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/1f923/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/1f923/lottie.json
Loudly-crying,https://fonts.gstatic.com/s/e/notoemoji/latest/1f62d/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f62d/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/1f62d/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/1f62d/lottie.json
Wink,https://fonts.gstatic.com/s/e/notoemoji/latest/1f609/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f609/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/1f609/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/1f609/lottie.json
Kissing,https://fonts.gstatic.com/s/e/notoemoji/latest/1f617/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f617/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/1f617/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/1f617/lottie.json
Kissing-smiling-eyes,https://fonts.gstatic.com/s/e/notoemoji/latest/1f619/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f619/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/1f619/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/1f619/lottie.json
Kissing-closed-eyes,https://fonts.gstatic.com/s/e/notoemoji/latest/1f61a/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f61a/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/1f61a/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/1f61a/lottie.json
Kissing-heart,https://fonts.gstatic.com/s/e/notoemoji/latest/1f618/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f618/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/1f618/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/1f618/lottie.json
Heart-face,https://fonts.gstatic.com/s/e/notoemoji/latest/1f970/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f970/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/1f970/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/1f970/lottie.json
Heart-eyes,https://fonts.gstatic.com/s/e/notoemoji/latest/1f60d/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f60d/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/1f60d/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/1f60d/lottie.json
Star-struck,https://fonts.gstatic.com/s/e/notoemoji/latest/1f929/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f929/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/1f929/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/1f929/lottie.json
Partying-face,https://fonts.gstatic.com/s/e/notoemoji/latest/1f973/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f973/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/1f973/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/1f973/lottie.json
Melting,https://fonts.gstatic.com/s/e/notoemoji/latest/1fae0/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1fae0/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/1fae0/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/1fae0/lottie.json
Upside-down-face,https://fonts.gstatic.com/s/e/notoemoji/latest/1f643/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f643/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/1f643/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/1f643/lottie.json
Slightly-happy,https://fonts.gstatic.com/s/e/notoemoji/latest/1f642/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f642/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/1f642/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/1f642/lottie.json
Happy-cry,https://fonts.gstatic.com/s/e/notoemoji/latest/1f972/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f972/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/1f972/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/1f972/lottie.json
Holding-back-tears,https://fonts.gstatic.com/s/e/notoemoji/latest/1f979/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f979/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/1f979/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/1f979/lottie.json
Blush,https://fonts.gstatic.com/s/e/notoemoji/latest/1f60a/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f60a/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/1f60a/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/1f60a/lottie.json
Warm-smile,https://fonts.gstatic.com/s/e/notoemoji/latest/263a_fe0f/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/263a_fe0f/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/263a_fe0f/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/263a_fe0f/lottie.json
Relieved,https://fonts.gstatic.com/s/e/notoemoji/latest/1f60c/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f60c/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/1f60c/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/1f60c/lottie.json
Smirk,https://fonts.gstatic.com/s/e/notoemoji/latest/1f60f/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f60f/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/1f60f/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/1f60f/lottie.json
Drool,https://fonts.gstatic.com/s/e/notoemoji/latest/1f924/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f924/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/1f924/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/1f924/lottie.json
Yum,https://fonts.gstatic.com/s/e/notoemoji/latest/1f60b/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f60b/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/1f60b/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/1f60b/lottie.json
